Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,289.445,-146.795,180.0,bottom
C2,22pF,C_0402_1005Metric,299.745,-170.115,270.0,bottom
C3,22pF,C_0402_1005Metric,294.365,-170.115,90.0,bottom
C4,1uF,C_0402_1005Metric,297.552142,-153.079034,180.0,bottom
C5,100nF,C_0402_1005Metric,302.865001,-152.854998,0.0,bottom
C6,100nF,C_0402_1005Metric,296.105,-155.965,90.0,bottom
C7,100nF,C_0402_1005Metric,292.095,-169.015,270.0,bottom
C8,1uF,C_0402_1005Metric,293.662488,-156.132085,90.0,bottom
C9,100nF,C_0402_1005Metric,297.566284,-154.068984,180.0,bottom
C10,1uF,C_0402_1005Metric,292.665467,-156.139157,90.0,bottom
C11,100nF,C_0402_1005Metric,301.815,-158.425,180.0,bottom
C12,100nF,C_0402_1005Metric,288.845,-162.445001,0.0,bottom
C13,100nF,C_0402_1005Metric,302.161583,-162.43793,180.0,bottom
C14,100nF,C_0402_1005Metric,293.135,-169.015,270.0,bottom
C15,100nF,C_0402_1005Metric,290.247162,-157.581654,0.0,bottom
C16,100nF,C_0402_1005Metric,291.668448,-156.146227,90.0,bottom
C17,10uF,C_0402_1005Metric,291.185,-151.88,180.0,bottom
DA0,1N4148,D_SOD-123,166.2625,-123.125,0.0,bottom
DA1,1N4148,D_SOD-123,187.6925,-123.135,0.0,bottom
DA2,1N4148,D_SOD-123,208.429019,-124.179902,4.0,bottom
DA3,1N4148,D_SOD-123,229.095,-126.615,8.0,bottom
DA4,1N4148,D_SOD-123,249.488944,-130.458054,12.0,bottom
DA5,1N4148,D_SOD-123,269.855,-133.725,7.0,bottom
DA6,1N4148,D_SOD-123,279.999056,-134.805,5.0,bottom
DA7,1N4148,D_SOD-123,309.069056,-134.715,355.0,bottom
DA8,1N4148,D_SOD-123,328.495,-132.575,353.0,bottom
DA9,1N4148,D_SOD-123,348.745,-128.495,348.0,bottom
DA10,1N4148,D_SOD-123,369.275,-125.295,352.0,bottom
DA11,1N4148,D_SOD-123,389.977744,-123.505,356.0,bottom
DA12,1N4148,D_SOD-123,410.8025,-123.105,0.0,bottom
DA13,1N4148,D_SOD-123,432.1825,-123.115,0.0,bottom
DB0,1N4148,D_SOD-123,166.235,-146.915,0.0,bottom
DB1,1N4148,D_SOD-123,185.305,-146.935,0.0,bottom
DB2,1N4148,D_SOD-123,204.355,-144.545,0.0,bottom
DB3,1N4148,D_SOD-123,226.955,-149.525,12.0,bottom
DB4,1N4148,D_SOD-123,245.585,-153.445,12.0,bottom
DB5,1N4148,D_SOD-123,264.215,-157.405,12.0,bottom
DB6,1N4148,D_SOD-123,282.835,-161.355,12.0,bottom
DB7,1N4148,D_SOD-123,315.365,-159.405,348.0,bottom
DB8,1N4148,D_SOD-123,333.965,-155.455,348.0,bottom
DB9,1N4148,D_SOD-123,352.605,-151.465,348.0,bottom
DB10,1N4148,D_SOD-123,371.265,-147.515,348.0,bottom
DB11,1N4148,D_SOD-123,394.105,-144.555,0.0,bottom
DB12,1N4148,D_SOD-123,413.1425,-146.915,0.0,bottom
DB13,1N4148,D_SOD-123,441.695,-146.934999,0.0,bottom
DC0,1N4148,D_SOD-123,171.015,-165.945,0.0,bottom
DC1,1N4148,D_SOD-123,194.815,-165.965,0.0,bottom
DC2,1N4148,D_SOD-123,217.745,-167.055,12.0,bottom
DC3,1N4148,D_SOD-123,236.365,-170.975,12.0,bottom
DC4,1N4148,D_SOD-123,255.015,-174.925,12.0,bottom
DC5,1N4148,D_SOD-123,273.665,-178.885,12.0,bottom
DC6,1N4148,D_SOD-123,324.555,-176.955,348.0,bottom
DC7,1N4148,D_SOD-123,343.175,-172.995,348.0,bottom
DC8,1N4148,D_SOD-123,361.815,-169.035,348.0,bottom
DC9,1N4148,D_SOD-123,380.425,-165.055,348.0,bottom
DC10,1N4148,D_SOD-123,403.575,-165.975,0.0,bottom
DC11,1N4148,D_SOD-123,420.4725,-165.975,0.0,bottom
DC12,1N4148,D_SOD-123,441.745,-165.955,0.0,bottom
DC13,1N4148,D_SOD-123,465.5325,-165.925,0.0,bottom
DD0,1N4148,D_SOD-123,170.9525,-185.035,0.0,bottom
DD1,1N4148,D_SOD-123,197.195,-185.015,0.0,bottom
DD2,1N4148,D_SOD-123,220.145,-187.015,12.0,bottom
DD3,1N4148,D_SOD-123,238.805,-190.975,12.0,bottom
DD4,1N4148,D_SOD-123,257.435,-194.925,12.0,bottom
DD5,1N4148,D_SOD-123,276.015,-198.885,12.0,bottom
DD6,1N4148,D_SOD-123,299.2025,-208.835,0.0,bottom
DD7,1N4148,D_SOD-123,322.168944,-196.911946,348.0,bottom
DD8,1N4148,D_SOD-123,340.795,-192.975,348.0,bottom
DD9,1N4148,D_SOD-123,359.395,-189.015,348.0,bottom
DD10,1N4148,D_SOD-123,378.055,-185.055,348.0,bottom
DD11,1N4148,D_SOD-123,401.185,-185.005,0.0,bottom
DD12,1N4148,D_SOD-123,420.2825,-184.995,0.0,bottom
DD13,1N4148,D_SOD-123,451.255,-185.025,0.0,bottom
DE0,1N4148,D_SOD-123,168.625,-204.085,0.0,bottom
DE1,1N4148,D_SOD-123,199.585,-204.065,0.0,bottom
DE2,1N4148,D_SOD-123,222.515,-206.995,12.0,bottom
DE3,1N4148,D_SOD-123,241.155,-210.955,12.0,bottom
DE4,1N4148,D_SOD-123,259.778944,-214.898054,12.0,bottom
DE5,1N4148,D_SOD-123,278.435,-218.835,12.0,bottom
DE6,1N4148,D_SOD-123,299.205,-227.895,0.0,bottom
DE7,1N4148,D_SOD-123,319.785,-216.885,348.0,bottom
DE8,1N4148,D_SOD-123,338.445,-212.965,348.0,bottom
DE9,1N4148,D_SOD-123,357.055,-208.985,348.0,bottom
DE10,1N4148,D_SOD-123,375.665,-205.025,348.0,bottom
DE11,1N4148,D_SOD-123,398.865,-204.065,0.0,bottom
DE12,1N4148,D_SOD-123,425.005,-204.085,0.0,bottom
DE13,1N4148,D_SOD-123,453.595,-206.435,0.0,bottom
DF0,1N4148,D_SOD-123,170.985,-223.145,0.0,bottom
DF1,1N4148,D_SOD-123,194.795,-223.125,0.0,bottom
DF2,1N4148,D_SOD-123,223.225,-226.635,12.0,bottom
DF3,1N4148,D_SOD-123,260.465,-234.535,12.0,bottom
DF4,1N4148,D_SOD-123,333.055,-233.565,348.0,bottom
DF5,1N4148,D_SOD-123,374.975,-224.655,348.0,bottom
DF6,1N4148,D_SOD-123,403.605,-223.115,0.0,bottom
DF7,1N4148,D_SOD-123,434.5625,-225.505,0.0,bottom
DF8,1N4148,D_SOD-123,453.575,-225.475,0.0,bottom
DF9,1N4148,D_SOD-123,459.305,-222.955,0.0,bottom
DF10,1N4148,D_SOD-123,453.6425,-123.115,0.0,bottom
DF11,1N4148,D_SOD-123,472.685,-123.125,0.0,bottom
DF12,1N4148,D_SOD-123,473.815,-151.755,90.0,bottom
DF13,1N4148,D_SOD-123,459.2025,-206.465,0.0,bottom
F1,500mA,Fuse_1206_3216Metric,291.645,-145.16,270.0,bottom
J1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,464.469785,-220.422903,180.0,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,464.469785,-205.962903,180.0,top
J3,Conn_01x03,conn_3pins,145.455004,-184.190001,90.0,top
JUSB1,USB Port,GCT_USB4085-GF-A_REVA4,294.476285,-131.544803,180.0,bottom
KA0,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,152.001285,-121.844803,0.0,top
KA1,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,173.432585,-121.844803,0.0,top
KA2,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,194.311385,-121.891203,-4.0,top
KA3,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,215.137385,-123.359103,-8.0,top
KA4,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,235.811485,-126.241203,-12.0,top
KA5,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,255.859385,-130.701903,-7.0,top
KA6,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,275.267385,-133.023503,-5.0,top
KA7,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,294.744885,-134.683803,5.0,top
KA8,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,314.222385,-133.023503,7.0,top
KA9,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,334.544585,-130.201903,12.0,top
KA10,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,354.987785,-126.010303,8.0,top
KA11,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,375.674785,-123.220103,4.0,top
KA12,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,396.507285,-121.844803,0.0,top
KA13,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,417.938485,-121.844803,0.0,top
KB0,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,152.001285,-145.657303,0.0,top
KB1,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,171.051285,-145.657303,0.0,top
KB2,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,190.101285,-143.276003,0.0,top
KB3,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,213.280485,-145.304603,-12.0,top
KB4,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,231.914185,-149.265303,-12.0,top
KB5,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,250.547885,-153.226003,-12.0,top
KB6,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,269.181585,-157.186703,-12.0,top
KB7,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,301.174485,-161.147503,12.0,top
KB8,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,319.808185,-157.186703,12.0,top
KB9,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,338.441885,-153.226003,12.0,top
KB10,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,357.075585,-149.265303,12.0,top
KB11,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,379.838485,-143.276003,0.0,top
KB12,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,398.888485,-145.657303,0.0,top
KB13,CPG151101S11-1,SW_Cherry_MX_2.00u_Hotswap,417.938485,-145.657303,0.0,top
KC0,CPG151101S11-1,SW_Cherry_MX_1.50u_Hotswap,152.001285,-164.707303,0.0,top
KC1,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,180.576285,-164.707303,0.0,top
KC2,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,204.086985,-162.826003,-12.0,top
KC3,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,222.720685,-166.786803,-12.0,top
KC4,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,241.354385,-170.747503,-12.0,top
KC5,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,259.988185,-174.708203,-12.0,top
KC6,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,310.367985,-178.668903,12.0,top
KC7,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,329.001685,-174.708203,12.0,top
KC8,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,347.635385,-170.747503,12.0,top
KC9,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,366.269085,-166.786803,12.0,top
KC10,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,389.363485,-164.707303,0.0,top
KC11,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,408.413485,-164.707303,0.0,top
KC12,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,427.463485,-164.707303,0.0,top
KC13,CPG151101S11-1,SW_Cherry_MX_1.50u_Hotswap,446.513485,-164.707303,0.0,top
KD0,CPG151101S11-1,SW_Cherry_MX_1.75u_Hotswap,149.620085,-183.757303,0.0,top
KD1,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,182.957585,-183.757303,0.0,top
KD2,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,206.468285,-182.807803,-12.0,top
KD3,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,225.101985,-186.768503,-12.0,top
KD4,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,243.735685,-190.729203,-12.0,top
KD5,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,262.369385,-194.689903,-12.0,top
KD6,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,284.969885,-207.569803,0.0,top
KD7,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,307.986685,-198.650703,12.0,top
KD8,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,326.620385,-194.689903,12.0,top
KD9,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,345.254085,-190.729203,12.0,top
KD10,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,363.887785,-186.768503,12.0,top
KD11,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,386.982285,-183.757303,0.0,top
KD12,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,406.032285,-183.757303,0.0,top
KD13,CPG151101S11-1,SW_Cherry_MX_2.25u_Hotswap,425.082285,-183.757303,0.0,top
KE0,CPG151101S11-1,SW_Cherry_MX_2.25u_Hotswap,142.476285,-202.807303,0.0,top
KE1,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,185.338785,-202.807303,0.0,top
KE2,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,208.849485,-202.789503,-12.0,top
KE3,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,227.483185,-206.750203,-12.0,top
KE4,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,246.116885,-210.711003,-12.0,top
KE5,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,264.750685,-214.671703,-12.0,top
KE6,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,284.969885,-226.619803,0.0,top
KE7,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,305.605485,-218.632403,12.0,top
KE8,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,324.239185,-214.671703,12.0,top
KE9,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,342.872885,-210.711003,12.0,top
KE10,CPG151101S11-1,SW_Cherry_MX_1.00u_Hotswap,361.506585,-206.750203,12.0,top
